,0,0,0,0
0,https://www.zerozero.pt/jogo.php?id=5442462,2017-08-06,CD Aves,Sporting
1,https://www.zerozero.pt/jogo.php?id=5442470,2017-08-06,V. Setúbal,Moreirense
2,https://www.zerozero.pt/jogo.php?id=5442466,2017-08-07,Portimonense,Boavista
3,https://www.zerozero.pt/jogo.php?id=5442464,2017-08-07,Feirense,CD Tondela
4,https://www.zerozero.pt/jogo.php?id=5442465,2017-08-07,Rio Ave,Belenenses
5,https://www.zerozero.pt/jogo.php?id=5442469,2017-08-08,Marítimo,Paços de Ferreira
6,https://www.zerozero.pt/jogo.php?id=5442468,2017-08-09,FC Porto,Estoril Praia
7,https://www.zerozero.pt/jogo.php?id=5442463,2017-08-09,Benfica,SC Braga
8,https://www.zerozero.pt/jogo.php?id=5442467,2017-08-10,V. Guimarães,GD Chaves
9,https://www.zerozero.pt/jogo.php?id=5442479,2017-08-11,Sporting,V. Setúbal
10,https://www.zerozero.pt/jogo.php?id=5442477,2017-08-12,Moreirense,Feirense
11,https://www.zerozero.pt/jogo.php?id=5442471,2017-08-12,Belenenses,Marítimo
12,https://www.zerozero.pt/jogo.php?id=5442472,2017-08-12,Boavista,Rio Ave
13,https://www.zerozero.pt/jogo.php?id=5442475,2017-08-13,Paços de Ferreira,CD Aves
14,https://www.zerozero.pt/jogo.php?id=5442473,2017-08-13,SC Braga,Portimonense
15,https://www.zerozero.pt/jogo.php?id=5442478,2017-08-13,CD Tondela,FC Porto
16,https://www.zerozero.pt/jogo.php?id=5442474,2017-08-14,Estoril Praia,V. Guimarães
17,https://www.zerozero.pt/jogo.php?id=5442476,2017-08-14,GD Chaves,Benfica
18,https://www.zerozero.pt/jogo.php?id=5442488,2017-08-18,Rio Ave,Portimonense
19,https://www.zerozero.pt/jogo.php?id=5442486,2017-08-19,CD Tondela,Estoril Praia
20,https://www.zerozero.pt/jogo.php?id=5442482,2017-08-19,V. Guimarães,Sporting
21,https://www.zerozero.pt/jogo.php?id=5442483,2017-08-19,Benfica,Belenenses
22,https://www.zerozero.pt/jogo.php?id=5442485,2017-08-20,V. Setúbal,GD Chaves
23,https://www.zerozero.pt/jogo.php?id=5442487,2017-08-20,FC Porto,Moreirense
24,https://www.zerozero.pt/jogo.php?id=5442480,2017-08-20,CD Aves,SC Braga
25,https://www.zerozero.pt/jogo.php?id=5442484,2017-08-20,Marítimo,Boavista
26,https://www.zerozero.pt/jogo.php?id=5442481,2017-08-21,Feirense,Paços de Ferreira
27,https://www.zerozero.pt/jogo.php?id=5442489,2017-08-25,Belenenses,V. Setúbal
28,https://www.zerozero.pt/jogo.php?id=5442493,2017-08-26,Moreirense,CD Tondela
29,https://www.zerozero.pt/jogo.php?id=5442492,2017-08-26,Paços de Ferreira,V. Guimarães
30,https://www.zerozero.pt/jogo.php?id=5442491,2017-08-26,GD Chaves,Feirense
31,https://www.zerozero.pt/jogo.php?id=5442495,2017-08-26,Rio Ave,Benfica
32,https://www.zerozero.pt/jogo.php?id=5442494,2017-08-27,Boavista,CD Aves
