,0,0,0,0
0,https://www.zerozero.pt/jogo.php?id=6067456,2018-08-10,Benfica,V. Guimarães
1,https://www.zerozero.pt/jogo.php?id=6067460,2018-08-11,V. Setúbal,CD Aves
2,https://www.zerozero.pt/jogo.php?id=6067461,2018-08-11,CD Tondela,Belenenses SAD
3,https://www.zerozero.pt/jogo.php?id=6067463,2018-08-11,FC Porto,GD Chaves
4,https://www.zerozero.pt/jogo.php?id=6067464,2018-08-12,Marítimo,Santa Clara
5,https://www.zerozero.pt/jogo.php?id=6067458,2018-08-12,Feirense,Rio Ave
6,https://www.zerozero.pt/jogo.php?id=6067459,2018-08-12,Moreirense,Sporting
7,https://www.zerozero.pt/jogo.php?id=6067457,2018-08-12,SC Braga,Nacional
8,https://www.zerozero.pt/jogo.php?id=6067462,2018-08-13,Portimonense,Boavista
9,https://www.zerozero.pt/jogo.php?id=6067465,2018-08-17,CD Aves,CD Tondela
10,https://www.zerozero.pt/jogo.php?id=6067467,2018-08-18,GD Chaves,Portimonense
11,https://www.zerozero.pt/jogo.php?id=6067468,2018-08-18,Boavista,Benfica
12,https://www.zerozero.pt/jogo.php?id=6067473,2018-08-18,Sporting,V. Setúbal
13,https://www.zerozero.pt/jogo.php?id=6067471,2018-08-19,Rio Ave,Marítimo
14,https://www.zerozero.pt/jogo.php?id=6067472,2018-08-19,Nacional,Moreirense
15,https://www.zerozero.pt/jogo.php?id=6067466,2018-08-19,Belenenses SAD,FC Porto
16,https://www.zerozero.pt/jogo.php?id=6067469,2018-08-19,Santa Clara,SC Braga
17,https://www.zerozero.pt/jogo.php?id=6067470,2018-08-20,V. Guimarães,Feirense
18,https://www.zerozero.pt/jogo.php?id=6067478,2018-08-24,Marítimo,GD Chaves
19,https://www.zerozero.pt/jogo.php?id=6067479,2018-08-25,Portimonense,Santa Clara
20,https://www.zerozero.pt/jogo.php?id=6067474,2018-08-25,Benfica,Sporting
21,https://www.zerozero.pt/jogo.php?id=6067480,2018-08-25,FC Porto,V. Guimarães
22,https://www.zerozero.pt/jogo.php?id=6067481,2018-08-26,V. Setúbal,Nacional
23,https://www.zerozero.pt/jogo.php?id=6067477,2018-08-26,Feirense,Boavista
24,https://www.zerozero.pt/jogo.php?id=6067482,2018-08-26,CD Tondela,Rio Ave
25,https://www.zerozero.pt/jogo.php?id=6067475,2018-08-26,SC Braga,CD Aves
26,https://www.zerozero.pt/jogo.php?id=6067476,2018-08-27,Moreirense,Belenenses SAD
27,https://www.zerozero.pt/jogo.php?id=6067488,2018-08-31,GD Chaves,SC Braga
28,https://www.zerozero.pt/jogo.php?id=6067485,2018-08-31,V. Guimarães,CD Tondela
29,https://www.zerozero.pt/jogo.php?id=6067484,2018-09-01,Belenenses SAD,V. Setúbal
30,https://www.zerozero.pt/jogo.php?id=6067487,2018-09-01,Santa Clara,Boavista
31,https://www.zerozero.pt/jogo.php?id=6067489,2018-09-01,Sporting,Feirense
32,https://www.zerozero.pt/jogo.php?id=6067491,2018-09-02,Rio Ave,Portimonense
33,https://www.zerozero.pt/jogo.php?id=6067483,2018-09-02,CD Aves,Marítimo
34,https://www.zerozero.pt/jogo.php?id=6067486,2018-09-02,Nacional,Benfica
35,https://www.zerozero.pt/jogo.php?id=6067490,2018-09-02,FC Porto,Moreirense
36,https://www.zerozero.pt/jogo.php?id=6067492,2018-09-21,Boavista,GD Chaves
37,https://www.zerozero.pt/jogo.php?id=6067494,2018-09-22,Santa Clara,Rio Ave
38,https://www.zerozero.pt/jogo.php?id=6067497,2018-09-22,Marítimo,Belenenses SAD
39,https://www.zerozero.pt/jogo.php?id=6067500,2018-09-22,V. Setúbal,FC Porto
40,https://www.zerozero.pt/jogo.php?id=6067495,2018-09-23,Feirense,Nacional
41,https://www.zerozero.pt/jogo.php?id=6067499,2018-09-23,CD Tondela,Moreirense
42,https://www.zerozero.pt/jogo.php?id=6067496,2018-09-23,Benfica,CD Aves
43,https://www.zerozero.pt/jogo.php?id=6067498,2018-09-23,Portimonense,V. Guimarães
44,https://www.zerozero.pt/jogo.php?id=6067493,2018-09-24,SC Braga,Sporting
45,https://www.zerozero.pt/jogo.php?id=6067505,2018-09-27,GD Chaves,Benfica
46,https://www.zerozero.pt/jogo.php?id=6067504,2018-09-28,FC Porto,CD Tondela
47,https://www.zerozero.pt/jogo.php?id=6067508,2018-09-29,Moreirense,Feirense
48,https://www.zerozero.pt/jogo.php?id=6067506,2018-09-29,Rio Ave,Boavista
49,https://www.zerozero.pt/jogo.php?id=6067509,2018-09-29,Sporting,Marítimo
50,https://www.zerozero.pt/jogo.php?id=6067507,2018-09-30,Nacional,Santa Clara
51,https://www.zerozero.pt/jogo.php?id=6067503,2018-09-30,V. Guimarães,V. Setúbal
52,https://www.zerozero.pt/jogo.php?id=6067502,2018-09-30,Belenenses SAD,SC Braga
53,https://www.zerozero.pt/jogo.php?id=6067501,2018-10-01,CD Aves,Portimonense
54,https://www.zerozero.pt/jogo.php?id=6067518,2018-10-05,CD Tondela,Nacional
55,https://www.zerozero.pt/jogo.php?id=6067515,2018-10-05,Santa Clara,GD Chaves
56,https://www.zerozero.pt/jogo.php?id=6067514,2018-10-05,Feirense,Belenenses SAD
57,https://www.zerozero.pt/jogo.php?id=6067517,2018-10-06,V. Setúbal,Moreirense
58,https://www.zerozero.pt/jogo.php?id=6067516,2018-10-06,Marítimo,V. Guimarães
59,https://www.zerozero.pt/jogo.php?id=6067511,2018-10-06,SC Braga,Rio Ave
60,https://www.zerozero.pt/jogo.php?id=6067513,2018-10-07,Boavista,CD Aves
61,https://www.zerozero.pt/jogo.php?id=6067510,2018-10-07,Benfica,FC Porto
62,https://www.zerozero.pt/jogo.php?id=6067512,2018-10-07,Portimonense,Sporting
