,0,0,0,0
0,https://www.zerozero.pt/jogo.php?id=6958518,2019-08-09,Portimonense,Belenenses SAD
1,https://www.zerozero.pt/jogo.php?id=6958515,2019-08-10,Santa Clara,FC Famalicão
2,https://www.zerozero.pt/jogo.php?id=6958511,2019-08-10,Gil Vicente,FC Porto
3,https://www.zerozero.pt/jogo.php?id=6958516,2019-08-10,Benfica,Paços de Ferreira
4,https://www.zerozero.pt/jogo.php?id=6958517,2019-08-11,Boavista,CD Aves
5,https://www.zerozero.pt/jogo.php?id=6958513,2019-08-11,Marítimo,Sporting
6,https://www.zerozero.pt/jogo.php?id=6958512,2019-08-11,SC Braga,Moreirense
7,https://www.zerozero.pt/jogo.php?id=6958514,2019-08-12,V. Setúbal,CD Tondela
8,https://www.zerozero.pt/jogo.php?id=6958520,2019-08-16,FC Famalicão,Rio Ave
9,https://www.zerozero.pt/jogo.php?id=6958525,2019-08-17,Moreirense,Gil Vicente
10,https://www.zerozero.pt/jogo.php?id=6958523,2019-08-17,Belenenses SAD,Benfica
11,https://www.zerozero.pt/jogo.php?id=6958524,2019-08-17,FC Porto,V. Setúbal
12,https://www.zerozero.pt/jogo.php?id=6958521,2019-08-18,Paços de Ferreira,Santa Clara
13,https://www.zerozero.pt/jogo.php?id=6958522,2019-08-18,CD Aves,Marítimo
14,https://www.zerozero.pt/jogo.php?id=6958526,2019-08-18,V. Guimarães,Boavista
15,https://www.zerozero.pt/jogo.php?id=6958527,2019-08-18,Sporting,SC Braga
16,https://www.zerozero.pt/jogo.php?id=6958528,2019-08-19,CD Tondela,Portimonense
17,https://www.zerozero.pt/jogo.php?id=6958537,2019-08-23,V. Setúbal,Moreirense
18,https://www.zerozero.pt/jogo.php?id=6958535,2019-08-23,Rio Ave,CD Aves
19,https://www.zerozero.pt/jogo.php?id=6958530,2019-08-24,Benfica,FC Porto
20,https://www.zerozero.pt/jogo.php?id=6958534,2019-08-24,Boavista,Paços de Ferreira
21,https://www.zerozero.pt/jogo.php?id=6958536,2019-08-25,Santa Clara,Belenenses SAD
22,https://www.zerozero.pt/jogo.php?id=6958531,2019-08-25,Marítimo,CD Tondela
23,https://www.zerozero.pt/jogo.php?id=6958532,2019-08-25,Portimonense,Sporting
24,https://www.zerozero.pt/jogo.php?id=6958529,2019-08-25,Gil Vicente,SC Braga
25,https://www.zerozero.pt/jogo.php?id=6958533,2019-08-25,V. Guimarães,FC Famalicão
26,https://www.zerozero.pt/jogo.php?id=6958541,2019-08-30,Moreirense,Portimonense
27,https://www.zerozero.pt/jogo.php?id=6958540,2019-08-30,Belenenses SAD,Boavista
28,https://www.zerozero.pt/jogo.php?id=6958542,2019-08-31,CD Aves,FC Famalicão
29,https://www.zerozero.pt/jogo.php?id=6958539,2019-08-31,Paços de Ferreira,Marítimo
30,https://www.zerozero.pt/jogo.php?id=6958546,2019-08-31,Sporting,Rio Ave
31,https://www.zerozero.pt/jogo.php?id=6958538,2019-08-31,Gil Vicente,V. Setúbal
32,https://www.zerozero.pt/jogo.php?id=6958544,2019-09-01,CD Tondela,Santa Clara
33,https://www.zerozero.pt/jogo.php?id=6958545,2019-09-01,FC Porto,V. Guimarães
34,https://www.zerozero.pt/jogo.php?id=6958543,2019-09-01,SC Braga,Benfica
35,https://www.zerozero.pt/jogo.php?id=6958519,2019-09-08,Rio Ave,V. Guimarães
36,https://www.zerozero.pt/jogo.php?id=6958554,2019-09-13,V. Setúbal,SC Braga
37,https://www.zerozero.pt/jogo.php?id=6958547,2019-09-14,FC Famalicão,Paços de Ferreira
38,https://www.zerozero.pt/jogo.php?id=6958551,2019-09-14,Benfica,Gil Vicente
39,https://www.zerozero.pt/jogo.php?id=6958552,2019-09-14,V. Guimarães,CD Aves
40,https://www.zerozero.pt/jogo.php?id=6958553,2019-09-15,Marítimo,Belenenses SAD
41,https://www.zerozero.pt/jogo.php?id=6958549,2019-09-15,Santa Clara,Moreirense
42,https://www.zerozero.pt/jogo.php?id=6958550,2019-09-15,Rio Ave,CD Tondela
43,https://www.zerozero.pt/jogo.php?id=6958555,2019-09-15,Portimonense,FC Porto
44,https://www.zerozero.pt/jogo.php?id=6958548,2019-09-15,Boavista,Sporting
45,https://www.zerozero.pt/jogo.php?id=6958557,2019-09-20,Paços de Ferreira,CD Aves
46,https://www.zerozero.pt/jogo.php?id=6958558,2019-09-21,Belenenses SAD,Rio Ave
47,https://www.zerozero.pt/jogo.php?id=6958561,2019-09-21,Moreirense,Benfica
48,https://www.zerozero.pt/jogo.php?id=6958556,2019-09-22,Gil Vicente,Boavista
49,https://www.zerozero.pt/jogo.php?id=6958563,2019-09-22,CD Tondela,V. Guimarães
50,https://www.zerozero.pt/jogo.php?id=6958564,2019-09-22,V. Setúbal,Portimonense
51,https://www.zerozero.pt/jogo.php?id=6958562,2019-09-22,FC Porto,Santa Clara
52,https://www.zerozero.pt/jogo.php?id=6958559,2019-09-23,SC Braga,Marítimo
53,https://www.zerozero.pt/jogo.php?id=6958560,2019-09-23,Sporting,FC Famalicão
54,https://www.zerozero.pt/jogo.php?id=6958568,2019-09-27,Boavista,CD Tondela
55,https://www.zerozero.pt/jogo.php?id=6958569,2019-09-28,Marítimo,Moreirense
56,https://www.zerozero.pt/jogo.php?id=6958567,2019-09-28,Benfica,V. Setúbal
57,https://www.zerozero.pt/jogo.php?id=6958565,2019-09-28,FC Famalicão,Belenenses SAD
58,https://www.zerozero.pt/jogo.php?id=6958571,2019-09-29,V. Guimarães,Paços de Ferreira
59,https://www.zerozero.pt/jogo.php?id=6958570,2019-09-29,Santa Clara,Gil Vicente
60,https://www.zerozero.pt/jogo.php?id=6958572,2019-09-29,Portimonense,SC Braga
61,https://www.zerozero.pt/jogo.php?id=6958573,2019-09-29,Rio Ave,FC Porto
62,https://www.zerozero.pt/jogo.php?id=6958566,2019-09-30,CD Aves,Sporting
63,https://www.zerozero.pt/jogo.php?id=6958585,2019-10-05,CD Aves,CD Tondela
64,https://www.zerozero.pt/jogo.php?id=6958575,2019-10-25,Paços de Ferreira,Rio Ave
65,https://www.zerozero.pt/jogo.php?id=6958574,2019-10-26,Gil Vicente,Portimonense
66,https://www.zerozero.pt/jogo.php?id=6958578,2019-10-26,Belenenses SAD,CD Aves
67,https://www.zerozero.pt/jogo.php?id=6958582,2019-10-26,V. Setúbal,Marítimo
68,https://www.zerozero.pt/jogo.php?id=6958580,2019-10-26,Moreirense,Boavista
69,https://www.zerozero.pt/jogo.php?id=6958579,2019-10-27,CD Tondela,Benfica
70,https://www.zerozero.pt/jogo.php?id=6958577,2019-10-27,FC Porto,FC Famalicão
71,https://www.zerozero.pt/jogo.php?id=6958581,2019-10-27,Sporting,V. Guimarães
72,https://www.zerozero.pt/jogo.php?id=6958576,2019-10-28,SC Braga,Santa Clara
73,https://www.zerozero.pt/jogo.php?id=6958591,2019-10-30,Rio Ave,Moreirense
74,https://www.zerozero.pt/jogo.php?id=6958589,2019-10-30,Marítimo,FC Porto
75,https://www.zerozero.pt/jogo.php?id=6958590,2019-10-30,V. Guimarães,Belenenses SAD
76,https://www.zerozero.pt/jogo.php?id=6958586,2019-10-30,Benfica,Portimonense
77,https://www.zerozero.pt/jogo.php?id=6958583,2019-10-30,FC Famalicão,Gil Vicente
78,https://www.zerozero.pt/jogo.php?id=6958584,2019-10-31,Paços de Ferreira,Sporting
79,https://www.zerozero.pt/jogo.php?id=6958588,2019-10-31,Santa Clara,V. Setúbal
80,https://www.zerozero.pt/jogo.php?id=6958587,2019-10-31,Boavista,SC Braga
81,https://www.zerozero.pt/jogo.php?id=6958593,2019-11-02,Benfica,Rio Ave
82,https://www.zerozero.pt/jogo.php?id=6958599,2019-11-02,Moreirense,V. Guimarães
83,https://www.zerozero.pt/jogo.php?id=6958592,2019-11-03,Gil Vicente,Marítimo
84,https://www.zerozero.pt/jogo.php?id=6958600,2019-11-03,CD Tondela,Sporting
85,https://www.zerozero.pt/jogo.php?id=6958596,2019-11-03,FC Porto,CD Aves
86,https://www.zerozero.pt/jogo.php?id=6958594,2019-11-03,SC Braga,FC Famalicão
87,https://www.zerozero.pt/jogo.php?id=6958595,2019-11-04,Belenenses SAD,Paços de Ferreira
88,https://www.zerozero.pt/jogo.php?id=6958597,2019-11-04,V. Setúbal,Boavista
89,https://www.zerozero.pt/jogo.php?id=6958598,2019-11-04,Portimonense,Santa Clara
90,https://www.zerozero.pt/jogo.php?id=6958606,2019-11-08,CD Aves,Gil Vicente
91,https://www.zerozero.pt/jogo.php?id=6958605,2019-11-09,Rio Ave,V. Setúbal
92,https://www.zerozero.pt/jogo.php?id=6958608,2019-11-09,Santa Clara,Benfica
93,https://www.zerozero.pt/jogo.php?id=6958601,2019-11-09,FC Famalicão,Moreirense
94,https://www.zerozero.pt/jogo.php?id=6958602,2019-11-10,Paços de Ferreira,CD Tondela
95,https://www.zerozero.pt/jogo.php?id=6958604,2019-11-10,Marítimo,Portimonense
96,https://www.zerozero.pt/jogo.php?id=6958607,2019-11-10,Sporting,Belenenses SAD
97,https://www.zerozero.pt/jogo.php?id=6958609,2019-11-10,V. Guimarães,SC Braga
98,https://www.zerozero.pt/jogo.php?id=6958603,2019-11-10,Boavista,FC Porto
99,https://www.zerozero.pt/jogo.php?id=6958617,2019-11-29,Santa Clara,Boavista
100,https://www.zerozero.pt/jogo.php?id=6958615,2019-11-30,Moreirense,CD Aves
101,https://www.zerozero.pt/jogo.php?id=6958611,2019-11-30,Benfica,Marítimo
102,https://www.zerozero.pt/jogo.php?id=6958613,2019-11-30,Portimonense,FC Famalicão
103,https://www.zerozero.pt/jogo.php?id=6958616,2019-12-01,CD Tondela,Belenenses SAD
104,https://www.zerozero.pt/jogo.php?id=6958618,2019-12-01,V. Setúbal,V. Guimarães
105,https://www.zerozero.pt/jogo.php?id=6958610,2019-12-01,Gil Vicente,Sporting
106,https://www.zerozero.pt/jogo.php?id=6958612,2019-12-02,SC Braga,Rio Ave
107,https://www.zerozero.pt/jogo.php?id=6958614,2019-12-02,FC Porto,Paços de Ferreira
108,https://www.zerozero.pt/jogo.php?id=6958625,2019-12-06,Boavista,Benfica
109,https://www.zerozero.pt/jogo.php?id=6958626,2019-12-07,Marítimo,Santa Clara
110,https://www.zerozero.pt/jogo.php?id=6958619,2019-12-07,FC Famalicão,CD Tondela
111,https://www.zerozero.pt/jogo.php?id=6958621,2019-12-07,CD Aves,SC Braga
112,https://www.zerozero.pt/jogo.php?id=6958620,2019-12-08,Paços de Ferreira,V. Setúbal
113,https://www.zerozero.pt/jogo.php?id=6958623,2019-12-08,V. Guimarães,Portimonense
114,https://www.zerozero.pt/jogo.php?id=6958627,2019-12-08,Sporting,Moreirense
115,https://www.zerozero.pt/jogo.php?id=6958622,2019-12-08,Belenenses SAD,FC Porto
116,https://www.zerozero.pt/jogo.php?id=6958624,2019-12-09,Rio Ave,Gil Vicente
117,https://www.zerozero.pt/jogo.php?id=6958631,2019-12-13,Portimonense,Rio Ave
118,https://www.zerozero.pt/jogo.php?id=6958636,2019-12-14,Marítimo,Boavista
